learner_id,item_id,skill,skills,correct,p_known_after,n_obs,streak,rule_fired,is_last
s01,q01,C,A|C,0,0.158,1,1,5,0
s01,q02,C,A|C,1,0.458,2,0,5,0
s01,q03,C,C,0,0.207,3,1,3,0
s01,q04,C,C,1,0.531,4,0,2,1
s01,q05,E,B|C|D|E,1,0.641,1,0,5,0
s01,q06,E,C|D|E,1,0.877,2,0,5,0
s01,q07,E,D|E,1,0.965,3,0,1,0
s01,q08,E,B|E,1,0.991,4,0,1,1
s01,q09,F,E|F,1,0.641,1,0,5,0
s01,q10,F,E|F,1,0.877,2,0,5,0
s01,q11,F,F,0,0.579,3,1,2,0
s01,q12,F,E|F,1,0.846,4,0,2,1
s02,q01,C,A|C,1,0.641,1,0,5,0
s02,q02,C,A|C,1,0.877,2,0,5,0
s02,q03,C,C,0,0.579,3,1,2,0
s02,q04,C,C,1,0.846,4,0,2,1
s02,q05,E,B|C|D|E,1,0.641,1,0,5,0
s02,q06,E,C|D|E,1,0.877,2,0,5,0
s02,q07,E,D|E,0,0.579,3,1,2,0
s02,q08,E,B|E,1,0.846,4,0,2,1
s02,q09,F,E|F,1,0.641,1,0,5,0
s02,q10,F,E|F,1,0.877,2,0,5,0
s02,q11,F,F,1,0.965,3,0,1,0
s02,q12,F,E|F,1,0.991,4,0,1,1
s03,q01,C,A|C,1,0.641,1,0,5,0
s03,q02,C,A|C,1,0.877,2,0,5,0
s03,q03,C,C,1,0.965,3,0,1,0
s03,q04,C,C,1,0.991,4,0,1,1
s03,q05,E,B|C|D|E,1,0.641,1,0,5,0
s03,q06,E,C|D|E,1,0.877,2,0,5,0
s03,q07,E,D|E,1,0.965,3,0,1,0
s03,q08,E,B|E,0,0.835,4,1,2,1
s03,q09,F,E|F,0,0.158,1,1,5,0
s03,q10,F,E|F,1,0.458,2,0,5,0
s03,q11,F,F,0,0.207,3,1,3,0
s03,q12,F,E|F,1,0.531,4,0,2,1
s04,q01,C,A|C,1,0.641,1,0,5,0
s04,q02,C,A|C,1,0.877,2,0,5,0
s04,q03,C,C,1,0.965,3,0,1,0
s04,q04,C,C,1,0.991,4,0,1,1
s04,q05,E,B|C|D|E,0,0.158,1,1,5,0
s04,q06,E,C|D|E,0,0.126,2,2,5,0
s04,q07,E,D|E,1,0.403,3,0,3,0
s04,q08,E,B|E,1,0.734,4,0,2,1
s04,q09,F,E|F,0,0.158,1,1,5,0
s04,q10,F,E|F,1,0.458,2,0,5,0
s04,q11,F,F,1,0.773,3,0,2,0
s04,q12,F,E|F,1,0.931,4,0,2,1
s05,q01,C,A|C,1,0.641,1,0,5,0
s05,q02,C,A|C,1,0.877,2,0,5,0
s05,q03,C,C,1,0.965,3,0,1,0
s05,q04,C,C,0,0.835,4,1,2,1
s05,q05,E,B|C|D|E,1,0.641,1,0,5,0
s05,q06,E,C|D|E,0,0.3,2,1,5,0
s05,q07,E,D|E,0,0.158,3,2,3,0
s05,q08,E,B|E,1,0.458,4,0,3,1
s05,q09,F,E|F,0,0.158,1,1,5,0
s05,q10,F,E|F,1,0.458,2,0,5,0
s05,q11,F,F,1,0.773,3,0,2,0
s05,q12,F,E|F,0,0.418,4,1,3,1
s06,q01,C,A|C,1,0.641,1,0,5,0
s06,q02,C,A|C,1,0.877,2,0,5,0
s06,q03,C,C,1,0.965,3,0,1,0
s06,q04,C,C,1,0.991,4,0,1,1
s06,q05,E,B|C|D|E,1,0.641,1,0,5,0
s06,q06,E,C|D|E,1,0.877,2,0,5,0
s06,q07,E,D|E,1,0.965,3,0,1,0
s06,q08,E,B|E,1,0.991,4,0,1,1
s06,q09,F,E|F,0,0.158,1,1,5,0
s06,q10,F,E|F,0,0.126,2,2,5,0
s06,q11,F,F,1,0.403,3,0,3,0
s06,q12,F,E|F,1,0.734,4,0,2,1
s07,q01,C,A|C,1,0.641,1,0,5,0
s07,q02,C,A|C,1,0.877,2,0,5,0
s07,q03,C,C,1,0.965,3,0,1,0
s07,q04,C,C,1,0.991,4,0,1,1
s07,q05,E,B|C|D|E,1,0.641,1,0,5,0
s07,q06,E,C|D|E,1,0.877,2,0,5,0
s07,q07,E,D|E,1,0.965,3,0,1,0
s07,q08,E,B|E,1,0.991,4,0,1,1
s07,q09,F,E|F,1,0.641,1,0,5,0
s07,q10,F,E|F,1,0.877,2,0,5,0
s07,q11,F,F,1,0.965,3,0,1,0
s07,q12,F,E|F,0,0.835,4,1,2,1
s08,q01,C,A|C,1,0.641,1,0,5,0
s08,q02,C,A|C,0,0.3,2,1,5,0
s08,q03,C,C,0,0.158,3,2,3,0
s08,q04,C,C,1,0.458,4,0,3,1
s08,q05,E,B|C|D|E,0,0.158,1,1,5,0
s08,q06,E,C|D|E,0,0.126,2,2,5,0
s08,q07,E,D|E,1,0.403,3,0,3,0
s08,q08,E,B|E,1,0.734,4,0,2,1
s08,q09,F,E|F,0,0.158,1,1,5,0
s08,q10,F,E|F,1,0.458,2,0,5,0
s08,q11,F,F,1,0.773,3,0,2,0
s08,q12,F,E|F,1,0.931,4,0,2,1
s09,q01,C,A|C,1,0.641,1,0,5,0
s09,q02,C,A|C,1,0.877,2,0,5,0
s09,q03,C,C,0,0.579,3,1,2,0
s09,q04,C,C,1,0.846,4,0,2,1
s09,q05,E,B|C|D|E,1,0.641,1,0,5,0
s09,q06,E,C|D|E,1,0.877,2,0,5,0
s09,q07,E,D|E,0,0.579,3,1,2,0
s09,q08,E,B|E,1,0.846,4,0,2,1
s09,q09,F,E|F,1,0.641,1,0,5,0
s09,q10,F,E|F,0,0.3,2,1,5,0
s09,q11,F,F,0,0.158,3,2,3,0
s09,q12,F,E|F,1,0.458,4,0,3,1
s10,q01,C,A|C,1,0.641,1,0,5,0
s10,q02,C,A|C,1,0.877,2,0,5,0
s10,q03,C,C,0,0.579,3,1,2,0
s10,q04,C,C,1,0.846,4,0,2,1
s10,q05,E,B|C|D|E,1,0.641,1,0,5,0
s10,q06,E,C|D|E,1,0.877,2,0,5,0
s10,q07,E,D|E,0,0.579,3,1,2,0
s10,q08,E,B|E,1,0.846,4,0,2,1
s10,q09,F,E|F,1,0.641,1,0,5,0
s10,q10,F,E|F,1,0.877,2,0,5,0
s10,q11,F,F,1,0.965,3,0,1,0
s10,q12,F,E|F,0,0.835,4,1,2,1
s11,q01,C,A|C,1,0.641,1,0,5,0
s11,q02,C,A|C,1,0.877,2,0,5,0
s11,q03,C,C,0,0.579,3,1,2,0
